titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,ingresos_anuales_usd,mercados_principales,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
"KUONGSHUN Project The Most Complete Ultimate Starter Kit With TUTORIAL, Compatible With Arduino IDE",15.0,,,0,https://www.alibaba.com/product-detail/KUONGSHUN-Project-The-Most-Complete-Ultimate_1600960568139.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,[],,,Located in CN,"{'place_of_origin': 'Guangdong, China', 'brand_name': 'Kuongshun', 'model_number': 'AE128', 'mounting_type': 'Compatible With Arduino IDE', 'description': 'Compatible With Arduino IDE', 'application': 'Compatible With Arduino IDE', 'type': 'Compatible With Arduino IDE', 'series': 'Compatible With Arduino IDE', 'features': 'New', 'condition': 'Original 100%', 'product_name': 'Compatible With Arduino IDE'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10', 'tiempo_aprox_dias': '3'}, {'rango_cantidad': '11 - 200', 'tiempo_aprox_dias': '5'}, {'rango_cantidad': '201 - 1000', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '> 1000', 'tiempo_aprox_dias': 'To be negotiated'}]"
UNO R3 Best Quality Electronic Enthusiast's Homecomponent Kit Suitable for Arduino Development Need to Quote,3.5,,,0,https://www.alibaba.com/product-detail/UNO-R3-Best-Quality-Electronic-Enthusiast_1601193137506.html,$,"Shenzhen Boruijintong Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '10 - 999 pieces', 'precio_unitario': 15.0}, {'cantidad_rango': '1000 - 9999 pieces', 'precio_unitario': 10.0}, {'cantidad_rango': '>= 10000 pieces', 'precio_unitario': 3.5}]",,,Located in CN,"{'model_number': 'Education & Maker Boards', 'type': 'UNO R3', 'place_of_origin': 'Guangdong, China', 'brand_name': 'Original', 'application': 'Household Product Mold', 'product_name': 'Education & Maker Boards', 'condition': '100% Original', 'service': 'One-stop Service', 'size': 'Customized Size', 'shipping_method': 'DHL\\UPS\\Fedex\\EMS\\Others', 'material': 'ABS/PA66/PP/PC/PMMA/PSU/PCTG/TPE/TPU/PBT'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10000', 'tiempo_aprox_dias': '35'}, {'rango_cantidad': '> 10000', 'tiempo_aprox_dias': 'To be negotiated'}]"
Electronic Kits Suppliers Physics Toys Science Snap Buttons Circuits DIY Kits,52.6,,,0,https://www.alibaba.com/product-detail/Electronic-Kits-Suppliers-Physics-Toys-Science_1600602988776.html?s=p,$,"GUANGZHOU DBOLO ELECTRONICS CO., LTD.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '1 - 49 sets', 'precio_unitario': 91.0}, {'cantidad_rango': '50 - 99 sets', 'precio_unitario': 67.3}, {'cantidad_rango': '100 - 299 sets', 'precio_unitario': 53.57}, {'cantidad_rango': '>= 300 sets', 'precio_unitario': 52.6}]",,,Located in CN,"{'age_range': '7-9Y, 10-12Y, 13-14Y, >14Y', 'material': 'ABS+METAL', 'gender': 'Unisex', 'package': 'Sets', 'battery': 'No Battery', 'place_of_origin': 'Guangdong, China', 'brand_name': 'DBOLO', 'model_number': 'Ardunio basic', 'moq': '1 Set', 'product_name': 'projects on Arudino', 'logo': 'ZNATOK'}",,"[{'rango_cantidad': 'Quantity (sets)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 100', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '101 - 1000', 'tiempo_aprox_dias': '14'}, {'rango_cantidad': '1001 - 2000', 'tiempo_aprox_dias': '28'}, {'rango_cantidad': '> 2000', 'tiempo_aprox_dias': 'To be negotiated'}]"
TLV2362IPSR In Stock Now New Electronic Components Kit Electronics Basic Integrated Circuit With CE Certificate,1.0,,,0,https://www.alibaba.com/product-detail/TLV2362IPSR-In-Stock-Now-New-Electronic_1601048858603.html,$,"Shenzhen Huayongli Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
ACEBOTT Complete Stem Education DIY Programmable Comptnents ESP32 Starter Kit DIY Electronic Kits Projects for Arduino,12.48,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Complete-Stem-Education-DIY-Programmable_1601572454833.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
UNO R3 Component Pack DIY Project Starter Electronic Kit With 830 Tie-points Breadboard With Box,3.61,,,0,https://www.alibaba.com/product-detail/UNO-R3-Component-Pack-DIY-Project_1601207006675.html,$,"Shenzhen Yixing Micro Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Robotlinking Super Starter kit Learning For Arduino Sensor kits For Mega 2560,18.64,,,0,https://www.alibaba.com/product-detail/Robotlinking-Super-Starter-kit-Learning-For_1601009289680.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Tscinbuny Electronic Components Development Boards Kit Electronic Modules and Kit Education & Maker for Arduino Programmable Kit,45.5,,,0,https://www.alibaba.com/product-detail/Tscinbuny-Electronic-Components-Development-Boards-Kit_10000005385633.html,$,"Shenzhen Zhiyi Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
830-hole Breadboard Suitable For UNO R3 Component Pack Beginner Starter Kit Kit Box Packaging,8.0,,,0,https://www.alibaba.com/product-detail/830-hole-Breadboard-Suitable-For-UNO_1600799052357.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
FNRF Yuan-R1L-02 Long Range Rf Module Electronic Components Kit with PCB Transistors and Resistors,2.1,,,0,https://www.alibaba.com/product-detail/FNRF-Yuan-R1L-02-Long-Range_1601520657897.html,$,"Shenzhen Lingchengxin Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Super R3 Starter Kit Learning Kit for Arduino,12.07,,,0,https://www.alibaba.com/product-detail/Super-R3-Starter-Kit-Learning-Kit_1601018932879.html?s=p,$,Shenzhen RoboWiz Electronic Ltd,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
LED Panel Display IC Chips Electronic Components Kit Buy Online Electronics Components Supplier AIP1620 EO-SOP20,0.07,,,0,https://www.alibaba.com/product-detail/LED-Panel-Display-IC-Chips-Electronic_1601241654578.html,$,"Guangzhou Junzhuo Information Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
ACEBOTT ESP32 Programmable Robot Arm Car Kit for Arduino Smart Robot Car Set for Learning Education Automation Kits,15.0,,,0,https://www.alibaba.com/product-detail/ACEBOTT-ESP32-Programmable-Robot-Arm-Car_1601220511189.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Semiconductor Components Electronics Kit with LCMX02400HC Integrated Circuit Chip Programmable BGA Package ICs BOM,4.89,,,0,https://www.alibaba.com/product-detail/Semiconductor-Components-Electronics-Kit-with-LCMX02400HC_1601382860785.html,$,"HK HongShengChuang Industrial Co., Limited",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
1200PCS Boxed Tubular Cord End VE Crimp Terminal Kits Insulated Crimp Terminals Wire Connector With Crimping Pliers HSC8 6-4 Set,0.55,,,0,https://www.alibaba.com/product-detail/1200PCS-Boxed-Tubular-Cord-End-VE_1601603335332.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
One-Stop Electronic Components Kit List Service Includes ICs Diodes Transistors Capacitors Resistors PCBA,0.01,,,0,https://www.alibaba.com/product-detail/One-Stop-Electronic-Components-Kit-List_1601584173095.html,$,"Atla Semicondutor Shenzhen Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Robotlinking Project The Most Complete Ultimate Starter Kit With TUTORIAL Compatible With Arduino IDE,22.0,,,0,https://www.alibaba.com/product-detail/Robotlinking-Project-The-Most-Complete-Ultimate_1600827091870.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Electronic Components BOM Kit Integrated Circuit Resistors Capacitors IC Chips Transistors Full Set for DIY One Stop Procurement,1.0,,,0,https://www.alibaba.com/product-detail/Electronic-Components-BOM-Kit-Integrated-Circuit_1601422669605.html,$,"Shenzhen City-Key Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Basic Starter Kit For Arduino Uno Set R3 DIY Kit - R3 Board / Breadboard + Retail Box,4.5,,,0,https://www.alibaba.com/product-detail/Basic-Starter-Kit-For-Arduino-Uno_1600548862027.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Integrated Circuit Electronic Components Electronic Modules and Kits,3.3,,,0,https://www.alibaba.com/product-detail/Integrated-Circuit-Electronic-Components-Electronic-Modules_1601636168447.html,$,"Shenzhen Chuangxin Online Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
1800PCS Boxed Tubular Cord End VE Crimp Terminal Kits Insulated Crimp Terminals Wire Connector With Crimping Pliers HSC8 6-4 Set,0.55,,,0,https://www.alibaba.com/product-detail/1800PCS-Boxed-Tubular-Cord-End-VE_1601234314447.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
QCC5124 New Original Bluetooth Module Electronic Control Wireless Transceiver Modems Electronic Components Kit Mio Electronics,5.76,,,0,https://www.alibaba.com/product-detail/QCC5124-New-Original-Bluetooth-Module-Electronic_1601437036140.html,$,"Mio Electronics (Shenzhen) Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Good Quality 200PCS 420PCS Box Assortment Kits RV1.25-3 Series Crimp Terminal Cable Lug Tin Plated Electrical Wire Connector PVC,2.63,,,0,https://www.alibaba.com/product-detail/Good-Quality-200PCS-420PCS-Box-Assortment_1601224050976.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Upgraded RFID Starter Kit for Arduino UN0 R3 Starter Kits Electric DIY Development Learning Suite Electronic Components,6.58,,,0,https://www.alibaba.com/product-detail/Upgraded-RFID-Starter-Kit-for-Arduino_1601090308549.html,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Pcb Electrical Chips Manufacturing Circuit Board Making Machine,13688.0,,,0,https://www.alibaba.com/product-detail/Pcb-Electrical-Chips-Manufacturing-Circuit-Board_1601008207043.html?s=p,$,"Jiaxing Bovi Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Wholesale Buy Online Distributor Electronic Chips Components Kit Suppliers,1.0,,,0,https://www.alibaba.com/product-detail/Wholesale-Buy-Online-Distributor-Electronic-Chips_1601407130527.html,$,LINPO PRECISION LIMITED,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
HSC8 6-4A Mini Household Electrical Kit With Storage Box 0.25-10mm2 Copper Tubular Terminal Wire Tools Pliers Crimping Ferrule,1.2,,,0,https://www.alibaba.com/product-detail/HSC8-6-4A-Mini-Household-Electrical_1601462275241.html?s=p,$,"Wenzhou Daji Pneumatic Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
1818PCS Electronic Components Diy Kit Metal Film Resistor Assortment Kit led Diodes Electrolytic Capacitor Ceramic Set,15.2,,,0,https://www.alibaba.com/product-detail/1818PCS-Electronic-Components-Diy-Kit-Metal_1601178397454.html,$,"Shenzhen Wonderful E-Commerce Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Integrated Circuit Making SMD Machine SMT550 Electronic Components Pick and Place Machine with 4heads and 50feeders,7200.0,,,0,https://www.alibaba.com/product-detail/Integrated-Circuit-Making-SMD-Machine-SMT550_1600257101483.html?s=p,$,"Wenzhou Yingxing Import And Export Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
1900 Pcs Electronic Component Kit Including Assortment + Capacitors + Resistors + LED + Transistors + Jacks + +opamp,11.2,,,0,https://www.alibaba.com/product-detail/1900-Pcs-Electronic-Component-Kit-Including_1601012557961.html,$,"Rtx Technology Co., Limited",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
China Customized Complete DIY Programmable Hobby Stem Education Electronic Circuit Module Mega 2560 Starter Kits Set For Arduino,20.43,,,0,https://www.alibaba.com/product-detail/China-Customized-Complete-DIY-Programmable-Hobby_1600219419527.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
OKY1003-1 Electronics Components Sensor Kit for DIY Projects DIY Education and Programming,3.12,,,0,https://www.alibaba.com/product-detail/OKY1003-1-Electronics-Components-Sensor-Kit_1601638744066.html,$,"OKYSTAR TECHNOLOGY GROUP CO., LIMITED",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
(SACOH Electronic Components)Pro Mini ATMEGA32U4,0.5,,,0,https://www.alibaba.com/product-detail/-SACOH-Electronic-Components-Pro-Mini_1601486447430.html?s=p,$,"Shenzhen Sacoh Electronic Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Import Integrated Circuit List All Supplies Kit China Other Part IC Chip Electronic Components IGBT,8.0,,,0,https://www.alibaba.com/product-detail/Import-Integrated-Circuit-List-All-Supplies_1600547732738.html,$,"Shenzhen Chuangxinda Electronics-Tech Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Robotlinking STEM School Smart Home Kit Education Solution Series with Teaching Resource for Arduino Uno R3 ESP32,55.0,,,0,https://www.alibaba.com/product-detail/Robotlinking-STEM-School-Smart-Home-Kit_1601132630078.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
NE555CD4017 DIY Electronic Components Kit LED Marquee Parts for Soldering Flowing Water Lamp Electronic Modules and Kits,0.45,,,0,https://www.alibaba.com/product-detail/NE555CD4017-DIY-Electronic-Components-Kit-LED_1601409129466.html,$,"Shenzhen Haofengyuan Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
SACOH High Quality Original Electronic Components Suppliers PRO MICRO ATMEGA32U4,0.55,,,0,https://www.alibaba.com/product-detail/SACOH-High-Quality-Original-Electronic-Components_1601568446193.html?s=p,$,"Shenzhen Sacoh Electronic Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Electronic Component Kit C1 Education Programming Kit Electronic Kit Diy for Arduino,3.5,,,0,https://www.alibaba.com/product-detail/Electronic-Component-Kit-C1-Education-Programming_1601431557360.html,$,"Shenzhen Keyes DIY Robot Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
IoT/Smart Devices PCBA Turnkey SMT Assembly Wireless/BLE/WiFi Boards Flexible MOQ Prototype Scaling OEM/ODM EMS Factory Model,1.8,,,0,https://www.alibaba.com/product-detail/IoT-Smart-Devices-PCBA-Turnkey-SMT_1601606881298.html?s=p,$,"Shanghai Chilan Electronics Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
19288-0220 New and Electronic Components Integrated circuit electronics chips bom Tool kit and shell,0.1,,,0,https://www.alibaba.com/product-detail/19288-0220-New-and-Electronic-Components_1601638854325.html,$,"Shenzhen Huayaya Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Low Cost High Quality Automatic Small PLC-controlled Motorized Gearbox SMT Machine For PCB Assembly,7800.0,,,0,https://www.alibaba.com/product-detail/Low-Cost-High-Quality-Automatic-Small_1600980176068.html?s=p,$,"Jiaxing Bovi Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Best-selling Original components SPD2-E9CD-XXXWW-LED1100 Electronic Components electronic kit,0.01,,,0,https://www.alibaba.com/product-detail/Best-selling-Original-components-SPD2-E9CD_1600638956607.html,$,"Shenzhen Shaoxin Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
ACEBOTT Bionic Biped Robot Kit for Arduino ESP32 DIY Dancing Electronic Toy APP Control Scratch Blockly programming,24.9,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Bionic-Biped-Robot-Kit-for_1601256434658.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
"One-Stop Electronic Component BOM Listing Kit Service Integrated Circuits, Diodes, Transistors, Capacitors, Resistors, PCBA",0.01,,,0,https://www.alibaba.com/product-detail/One-Stop-Electronic-Component-BOM-Listing_1601579409717.html,$,"Shenzhen Yuetaijia Electronics Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,,,
RoboWiz Basic Starter Kit for BBC Micro:Bit V2.2 Graphical Programming with Battery,14.99,,,0,https://www.alibaba.com/product-detail/RoboWiz-Basic-Starter-Kit-for-BBC_1600887129601.html?s=p,$,Shenzhen RoboWiz Electronic Ltd,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
Microcontroller Development Kit Electronics Component Basic Starter Kit Student Learning Board Electronic Modules for Arduin-o,5.5,,,0,https://www.alibaba.com/product-detail/Microcontroller-Development-Kit-Electronics-Component-Basic_1601639175886.html,$,"Kelly Electronic Components (shenzhen) Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
1900pcs Mega Electronic Component Kit Including Assortment + Capacitors + Resistors + LED + Transistors + DC Jacks + PCB +opamp,7.9,,,0,https://www.alibaba.com/product-detail/1900pcs-Mega-Electronic-Component-Kit-Including_1601542033177.html,$,"Shenzhen Youxinbang Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,,,
