titulo,precio,precio_original,descuento,ventas,link,moneda,proveedor,proveedor_anios,proveedor_pais,proveedor_verificado,rating_score,rating_count,moq,moq_texto,envio_promesa,tasa_repeticion,pagina,plataforma,fecha_scraping,precios_por_niveles,pais_origen_detallado,atributos_produccion,peso_bruto_kg,tiempos_entrega
Electronic Kits Suppliers Physics Toys Science Snap Buttons Circuits DIY Kits,52.6,,,0,https://www.alibaba.com/product-detail/Electronic-Kits-Suppliers-Physics-Toys-Science_1600602988776.html?s=p,$,"GUANGZHOU DBOLO ELECTRONICS CO., LTD.",,,False,,,,,,,1,Alibaba,2025-12-09,"[{'cantidad_rango': '1 - 49 sets', 'precio_unitario': 91.0}, {'cantidad_rango': '50 - 99 sets', 'precio_unitario': 67.3}, {'cantidad_rango': '100 - 299 sets', 'precio_unitario': 53.57}, {'cantidad_rango': '>= 300 sets', 'precio_unitario': 52.6}]",Located in CN,"{'age_range': '7-9Y, 10-12Y, 13-14Y, >14Y', 'material': 'ABS+METAL', 'gender': 'Unisex', 'package': 'Sets', 'battery': 'No Battery', 'place_of_origin': 'Guangdong, China', 'brand_name': 'DBOLO', 'model_number': 'Ardunio basic', 'moq': '1 Set', 'product_name': 'projects on Arudino', 'logo': 'ZNATOK'}",,"[{'rango_cantidad': 'Quantity (sets)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 100', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '101 - 1000', 'tiempo_aprox_dias': '14'}, {'rango_cantidad': '1001 - 2000', 'tiempo_aprox_dias': '28'}, {'rango_cantidad': '> 2000', 'tiempo_aprox_dias': 'To be negotiated'}]"
One Stop Customized PCBA Electronic Component Kit Desk Lamp Wall Lamp Dimming Board Driver Complete Design Solution Manufacturer,6.5,,,0,https://www.alibaba.com/product-detail/One-Stop-Customized-PCBA-Electronic-Component_1601586008010.html,$,"Guangzhou Zhuning Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,[],Located in CN,"{'type': 'LED PCBA', 'functional_application': 'Lighting', 'ram': 'custom', 'model_number': 'Table lamp, wall lamp dimmer+drive complete set', 'place_of_origin': 'Guangdong, China', 'brand_name': 'Zhuning', 'copper_thickness': 'Customized', 'supplier_type': 'One-stop customization', 'operating_system': 'custom', 'application': 'Lighting'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 200', 'tiempo_aprox_dias': '30'}, {'rango_cantidad': '> 200', 'tiempo_aprox_dias': 'To be negotiated'}]"
"KUONGSHUN Project The Most Complete Ultimate Starter Kit With TUTORIAL, Compatible With Arduino IDE",15.0,,,0,https://www.alibaba.com/product-detail/KUONGSHUN-Project-The-Most-Complete-Ultimate_1600960568139.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,[],Located in CN,"{'place_of_origin': 'Guangdong, China', 'brand_name': 'Kuongshun', 'model_number': 'AE128', 'mounting_type': 'Compatible With Arduino IDE', 'description': 'Compatible With Arduino IDE', 'application': 'Compatible With Arduino IDE', 'type': 'Compatible With Arduino IDE', 'series': 'Compatible With Arduino IDE', 'features': 'New', 'condition': 'Original 100%', 'product_name': 'Compatible With Arduino IDE'}",,"[{'rango_cantidad': 'Quantity (pieces)', 'tiempo_aprox_dias': 'Lead time (days)'}, {'rango_cantidad': '1 - 10', 'tiempo_aprox_dias': '3'}, {'rango_cantidad': '11 - 200', 'tiempo_aprox_dias': '5'}, {'rango_cantidad': '201 - 1000', 'tiempo_aprox_dias': '7'}, {'rango_cantidad': '> 1000', 'tiempo_aprox_dias': 'To be negotiated'}]"
"Electronic Components Kit Buy Online Electronics Components Supplier,bom List Service Integrated Circuits Electronic Chip",1.1,,,0,https://www.alibaba.com/product-detail/Electronic-Components-Kit-Buy-Online-Electronics_1600531662193.html,$,"Hongrong (shenzhen) Electronics Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
ACEBOTT Complete Stem Education DIY Programmable Comptnents ESP32 Starter Kit DIY Electronic Kits Projects for Arduino,12.48,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Complete-Stem-Education-DIY-Programmable_1601572454833.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
OPA548 Electronic Modules Kits Low Frequency Power Operational Amplifier with 3A Continuous Current Wide Output Voltage Swing,19.95,,,0,https://www.alibaba.com/product-detail/OPA548-Electronic-Modules-Kits-Low-Frequency_1601640642120.html,$,"Kelly Electronic Components (shenzhen) Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Robotlinking Super Starter kit Learning For Arduino Sensor kits For Mega 2560,18.64,,,0,https://www.alibaba.com/product-detail/Robotlinking-Super-Starter-kit-Learning-For_1601009289680.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Free samples for other ics components electronic kit microcontrollers and processors fpga electronics kit,1.0,,,0,https://www.alibaba.com/product-detail/Free-samples-for-other-ics-components_1601255094298.html,$,"Shenzhen Nanfeng Quancheng Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
UNO R3 Best Quality Electronic Enthusiast's Homecomponent Kit Suitable For Arduino Development Need To Quote,3.5,,,0,https://www.alibaba.com/product-detail/UNO-R3-Best-Quality-Electronic-Enthusiast_1601193137506.html?s=p,$,"Shenzhen Boruijintong Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Hot Selling Electronic Modules Starter Kit Component Starter Module Diy Kit Learning RFID Starter Kit for uno R3,9.99,,,0,https://www.alibaba.com/product-detail/Hot-Selling-Electronic-Modules-Starter-Kit_1600891518661.html,$,"Shenzhen Shiji Chaoyue Electronics Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
1200PCS Boxed Tubular Cord End VE Crimp Terminal Kits Insulated Crimp Terminals Wire Connector With Crimping Pliers HSC8 6-4 Set,0.55,,,0,https://www.alibaba.com/product-detail/1200PCS-Boxed-Tubular-Cord-End-VE_1601603335332.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Electronic Components AC Motor Start Series Cbb61 450V 25UF Run Capacitors Kit Unit for Air Conditioner and Ceiling Fan,0.1,,,0,https://www.alibaba.com/product-detail/Electronic-Components-AC-Motor-Start-Series_1600476732837.html,$,"Foshan Shunde Hongye Electrical Appliance Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
830-hole Breadboard Suitable For UNO R3 Component Pack Beginner Starter Kit Kit Box Packaging,8.0,,,0,https://www.alibaba.com/product-detail/830-hole-Breadboard-Suitable-For-UNO_1600799052357.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Electronic Circuit Components Upgrade Learner Kit Development Board Starter Kits for Ardui Ide Programming Diy Kit for Arduino,10.87,,,0,https://www.alibaba.com/product-detail/Electronic-Circuit-Components-Upgrade-Learner-Kit_1601142255801.html,$,"Shenzhen Bluetech Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Super R3 Starter Kit Learning Kit for Arduino,12.07,,,0,https://www.alibaba.com/product-detail/Super-R3-Starter-Kit-Learning-Kit_1601018932879.html?s=p,$,Shenzhen RoboWiz Electronic Ltd,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
UNO R3 Component Pack DIY Project Starter Electronic Kit With 830 Tie-points Breadboard With Box,3.61,,,0,https://www.alibaba.com/product-detail/UNO-R3-Component-Pack-DIY-Project_1601207006675.html,$,"Shenzhen Yixing Micro Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Basic Starter Kit For Arduino Uno Set R3 DIY Kit - R3 Board / Breadboard + Retail Box,4.5,,,0,https://www.alibaba.com/product-detail/Basic-Starter-Kit-For-Arduino-Uno_1600548862027.html?s=p,$,"Shenzhen Xuantejia Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
2600pcs Lot 130 Value 1_4W 0.25W Metal Film Resistor Combination Pack Kit Set Bulk Electronic Components Fixed Capacitor,3.33,,,0,https://www.alibaba.com/product-detail/2600pcs-Lot-130-Value-1-4W_1601526039050.html,$,"Shenzhen Youxinbang Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Robotlinking Project The Most Complete Ultimate Starter Kit With TUTORIAL Compatible With Arduino IDE,22.0,,,0,https://www.alibaba.com/product-detail/Robotlinking-Project-The-Most-Complete-Ultimate_1600827091870.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Brand Electronic Components Kit UC3842 Integrated Circuit Wifi in Stock Now with Great Price,1.0,,,0,https://www.alibaba.com/product-detail/Brand-Electronic-Components-Kit-UC3842-Integrated_1601234055248.html,$,"Shenzhen Huayongli Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
ACEBOTT ESP32 Programmable Robot Arm Car Kit for Arduino Smart Robot Car Set for Learning Education Automation Kits,15.0,,,0,https://www.alibaba.com/product-detail/ACEBOTT-ESP32-Programmable-Robot-Arm-Car_1601220511189.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
7 Kinds of Electronic Components Kit 3/5mm Light-emitting Diode Transistor Ceramic Electrolytic Capacitor Metal Film Resistor,6.2,,,0,https://www.alibaba.com/product-detail/7-Kinds-of-Electronic-Components-Kit_1601438097746.html,$,"Shenzhen Huayingyu Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
1200PCS Ferrule HSC8 6-4 Tubular Terminal Wire Crimper Pliers Set Terminals Cord End Wire Terminals Crimping Tool Kit 0.5-10mm2,0.7,,,0,https://www.alibaba.com/product-detail/1200PCS-Ferrule-HSC8-6-4-Tubular_1601434199911.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
New Type Simple Metal Detector Electronic Assembly Kit - Metal Detector Component Board,0.67,,,0,https://www.alibaba.com/product-detail/New-Type-Simple-Metal-Detector-Electronic_1601579886832.html,$,"Shenzhen Chikongxin Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Super Starter Kit for R3 Projects With Arduino IDE,19.29,,,0,https://www.alibaba.com/product-detail/Super-Starter-Kit-for-R3-Projects_1601052859262.html?s=p,$,Shenzhen RoboWiz Electronic Ltd,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Electronics Kit for Unor3 Component Pack DIY Project Starter Electronic Kit With 830 Tie-points Breadboard DIY Kit Box,3.28,,,0,https://www.alibaba.com/product-detail/Electronics-Kit-for-Unor3-Component-Pack_1601323943555.html,$,"Shenzhen Vanknow Micro Electronic Co., LTD",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
China Customized Complete DIY Programmable Hobby Stem Education Electronic Circuit Module Mega 2560 Starter Kits Set For Arduino,20.43,,,0,https://www.alibaba.com/product-detail/China-Customized-Complete-DIY-Programmable-Hobby_1600219419527.html?s=p,$,Shenzhen Kuongshun Electronic Business Department,,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
FNRF Yuan-R1L-02 Long Range Rf Module Electronic Components Kit with PCB Transistors and Resistors,2.1,,,0,https://www.alibaba.com/product-detail/FNRF-Yuan-R1L-02-Long-Range_1601520657897.html,$,"Shenzhen Lingchengxin Electronics Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
14 Years PCB Board PCBA Supplier EMS Electronics Contract Manufacturing Factory Printed Circuit Board Assembly PCBA Service,0.3,,,0,https://www.alibaba.com/product-detail/14-Years-PCB-Board-PCBA-Supplier_1601616315689.html?s=p,$,"Shenzhen Jkr Precision Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Capacitance Transistor Electronic Components Kit Set Purchase Service Wholesale Other IC Electronic Components Suppliers,5.0,,,0,https://www.alibaba.com/product-detail/Capacitance-Transistor-Electronic-Components-Kit-Set_10000005635595.html,$,SHENZHEN UC INDUSTRIAL LIMITED,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
VE 1200PCS Box Tubular Cord End Crimp Terminal Kits Insulated Crimp Terminals Wire Connector With Crimping Pliers HSC8 6-4 Set,0.55,,,0,https://www.alibaba.com/product-detail/VE-1200PCS-Box-Tubular-Cord-End_1601603394176.html?s=p,$,"Wenzhou Muge Automation Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
"Electronics Component Fun Set Robot Starter Kit PCB Soldering Electron Kit, LED & Resistor Kits for Raspberry Pi ESP32",18.0,,,0,https://www.alibaba.com/product-detail/Electronics-Component-Fun-Set-Robot-Starter_1601220143807.html,$,"Shenzhen Boruijintong Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
SACOH High Quality Original Electronic Components Suppliers PRO MICRO ATMEGA32U4,0.55,,,0,https://www.alibaba.com/product-detail/SACOH-High-Quality-Original-Electronic-Components_1601568446193.html?s=p,$,"Shenzhen Sacoh Electronic Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
SY Chips Electronic Kit Chinese Integrated Circuits One- Stop Electronic Components Electronics Repair Part,0.09,,,0,https://www.alibaba.com/product-detail/SY-Chips-Electronic-Kit-Chinese-Integrated_11000005927788.html,$,"Shenzhen Sy Chips Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
(SACOH Electronic Components)Pro Mini ATMEGA32U4,0.5,,,0,https://www.alibaba.com/product-detail/-SACOH-Electronic-Components-Pro-Mini_1601486447430.html?s=p,$,"Shenzhen Sacoh Electronic Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Wholesale New and Original One Stop Service Electronic Components Bom List IRFB3607PBF Electronic Components Kit,0.32,,,0,https://www.alibaba.com/product-detail/Wholesale-New-and-Original-One-Stop_1601207403536.html,$,"Shenzhen Chengfangchip Electronic Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Pcb Electrical Chips Manufacturing Circuit Board Making Machine,13688.0,,,0,https://www.alibaba.com/product-detail/Pcb-Electrical-Chips-Manufacturing-Circuit-Board_1601008207043.html?s=p,$,"Jiaxing Bovi Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
LED Panel Display IC Chips Electronic Components Kit Buy Online Electronics Components Supplier AIP1620 EO-SOP20,0.07,,,0,https://www.alibaba.com/product-detail/LED-Panel-Display-IC-Chips-Electronic_1601241654578.html,$,"Guangzhou Junzhuo Information Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Original And New Electronic Components MEC1428-NU-D0 Integrated Circuit Making Machine Electronic Components ICs Supplier,3.0,,,0,https://www.alibaba.com/product-detail/Original-And-New-Electronic-Components-MEC1428_1600551769942.html?s=p,$,SHENZHEN UC INDUSTRIAL LIMITED,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
460pcs XH 2.54mm JST Connector Kit 2.54mm Female Male Terminal / Housing 2P/3P/4P/5P/6P Pin Housing Electronic Components,7.56,,,0,https://www.alibaba.com/product-detail/460pcs-XH-2-54mm-JST-Connector_1601570162392.html,$,"Shenzhen Bo Guang Xin Ye Electronics Co., Ltd",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
Low Cost High Quality Automatic Small PLC-controlled Motorized Gearbox SMT Machine For PCB Assembly,7800.0,,,0,https://www.alibaba.com/product-detail/Low-Cost-High-Quality-Automatic-Small_1600980176068.html?s=p,$,"Jiaxing Bovi Electronic Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
One-Stop Electronic Components Kit List Service Includes ICs Diodes Transistors Capacitors Resistors PCBA,0.01,,,0,https://www.alibaba.com/product-detail/One-Stop-Electronic-Components-Kit-List_1601584173095.html,$,"Atla Semicondutor Shenzhen Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
IoT/Smart Devices PCBA Turnkey SMT Assembly Wireless/BLE/WiFi Boards Flexible MOQ Prototype Scaling OEM/ODM EMS Factory Model,1.8,,,0,https://www.alibaba.com/product-detail/IoT-Smart-Devices-PCBA-Turnkey-SMT_1601606881298.html?s=p,$,"Shanghai Chilan Electronics Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
EEPROM Flash BIOS USB Programmer Kit with SOIC8 Clip and 1.8V SPI Flash Memory SOP8 DIP8 Adapter Burner Electronic Components,7.15,,,0,https://www.alibaba.com/product-detail/EEPROM-Flash-BIOS-USB-Programmer-Kit_1600704843518.html,$,"Shenzhen Jiangyuan Microelectronics Technology Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Internet Of Things IOT Smart Home Central Control Circuit Board Customization PCB PCBA,2.0,,,0,https://www.alibaba.com/product-detail/Internet-Of-Things-IOT-Smart-Home_1600887980667.html?s=p,$,Shenzhen Sinmicro Technology Ltd.,,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
ACEBOTT Complete Stem Education DIY Programmable Comptnents ESP32 Starter Kit DIY Electronic Kits Projects for Arduino,12.48,,,0,https://www.alibaba.com/product-detail/ACEBOTT-Complete-Stem-Education-DIY-Programmable_1601571570799.html,$,"Acebott Stem Education Tech Co., Ltd.",,,True,,,,,,,1,Alibaba,2025-12-09,,,,,
Robotlinking STEM School Smart Home Kit Education Solution Series with Teaching Resource for Arduino Uno R3 ESP32,55.0,,,0,https://www.alibaba.com/product-detail/Robotlinking-STEM-School-Smart-Home-Kit_1601132630078.html?s=p,$,"Shenzhen Robotlinking Technology Co., Ltd.",,,False,,,,,,,1,Alibaba,2025-12-09,,,,,
